train_accuracy,train_loss,validation_accuracy,validation_loss
0.3828125,1.565852403640747,0.4375,1.4328298568725586
0.609375,1.1678463220596313,0.4375,1.4865822792053223
0.59375,1.159359335899353,0.375,1.665632963180542
0.59375,1.0957547426223755,0.5,1.2839648723602295
0.578125,1.1392979621887207,0.5,1.3189730644226074
0.6875,0.9872841238975525,0.5,1.3836709260940552
0.65625,0.9996585249900818,0.6875,1.0331532955169678
0.7265625,0.9115374088287354,0.625,1.0875091552734375
0.7578125,0.7985460162162781,0.4375,1.4267059564590454
0.78125,0.7089780569076538,0.8125,0.8734205961227417
0.7890625,0.6853247284889221,0.5625,1.0067710876464844
0.796875,0.6513004302978516,0.5,1.0948351621627808
0.7265625,0.7707838416099548,0.5625,1.1698185205459595
0.7578125,0.7103987336158752,0.6875,0.9868342280387878
0.8515625,0.6156696081161499,0.375,1.5054872035980225
0.828125,0.6624785661697388,0.6875,0.9059401750564575
0.7734375,0.7538156509399414,0.6875,0.9012904763221741
0.796875,0.6219496130943298,0.6875,1.0567724704742432
0.7890625,0.690034031867981,0.5625,1.3899893760681152
0.8359375,0.6485288143157959,0.625,1.049737811088562
