train_accuracy,train_loss,validation_accuracy,validation_loss
0.9375,0.15869049727916718,0.875,0.39095911383628845
0.9609375,0.08759387582540512,0.8125,0.49553635716438293
1.0,0.03409001603722572,1.0,0.03546595945954323
0.9921875,0.041501644998788834,0.875,0.2815900444984436
1.0,0.022776519879698753,0.875,0.24859043955802917
1.0,0.012348153628408909,0.8125,0.4905080795288086
1.0,0.0060767983086407185,0.875,0.7828661799430847
1.0,0.008444405160844326,0.8125,0.5284545421600342
1.0,0.009427709504961967,1.0,0.028196675702929497
1.0,0.004498734138906002,1.0,0.03211803734302521
1.0,0.005124079994857311,0.9375,0.19675637781620026
1.0,0.005566035863012075,0.875,0.8764178156852722
1.0,0.004551716614514589,1.0,0.01071145012974739
1.0,0.0035361642949283123,0.9375,0.2986004650592804
1.0,0.004390740767121315,1.0,0.016898008063435555
1.0,0.004279234446585178,0.875,0.7300013899803162
1.0,0.003933446481823921,0.8125,0.3838649094104767
1.0,0.003431018441915512,1.0,0.03684890642762184
1.0,0.0026207563932985067,0.875,0.7115147709846497
1.0,0.004662914667278528,0.8125,0.6533830761909485
