train_accuracy,train_loss,validation_accuracy,validation_loss
0.84375,0.43546533584594727,0.875,0.3965950012207031
0.96875,0.08888286352157593,0.5,1.4472825527191162
0.96875,0.15596702694892883,0.875,0.601036787033081
0.9375,0.16060848534107208,0.625,0.5050836205482483
0.9375,0.198740154504776,0.875,0.2756420373916626
0.9375,0.12426035851240158,1.0,0.17604927718639374
0.90625,0.15153881907463074,0.75,0.6349179148674011
0.96875,0.08200021088123322,0.625,1.2354481220245361
0.875,0.2558267414569855,0.625,0.7375931143760681
1.0,0.014797053299844265,1.0,0.004800296854227781
