train_accuracy,train_loss,validation_accuracy,validation_loss
0.9765625,0.0726354718208313,0.759615421295166,0.6040551066398621
1.0,0.016637472435832024,0.7307692766189575,0.9475885033607483
0.984375,0.04533739015460014,0.759615421295166,0.8482723236083984
0.9921875,0.034460701048374176,0.701923131942749,1.5374891757965088
1.0,0.002226419048383832,0.7211538553237915,1.1259765625
1.0,0.0005371084553189576,0.701923131942749,1.7463316917419434
1.0,0.003925419878214598,0.7211538553237915,1.8605473041534424
1.0,0.004634424112737179,0.6634615659713745,2.1555821895599365
0.09375,,0.4326923191547394,
0.0859375,,0.49038463830947876,
