train_accuracy,train_loss,validation_accuracy,validation_loss
0.78125,0.4563363194465637,1.0,0.1599866896867752
0.96875,0.10907240211963654,0.625,1.3005125522613525
0.96875,0.17223893105983734,0.75,0.37541574239730835
0.9375,0.16938182711601257,0.625,0.5694803595542908
0.9375,0.1629849374294281,0.875,0.31883320212364197
0.96875,0.1455857753753662,1.0,0.1849347949028015
0.90625,0.19802339375019073,0.625,1.1371763944625854
0.96875,0.06933548301458359,0.625,1.2357388734817505
0.84375,0.30395418405532837,0.75,0.5050447583198547
1.0,0.01475377008318901,1.0,0.004898102954030037
