train_accuracy,train_loss,validation_accuracy,validation_loss
0.3125,2.5811750888824463,0.34375,1.9928361177444458
0.34375,1.5992411375045776,0.53125,1.389095425605774
0.625,1.2531882524490356,0.5,1.4002197980880737
0.34375,1.581343412399292,0.53125,1.6840757131576538
0.59375,1.0822335481643677,0.59375,1.1301798820495605
0.53125,1.4350730180740356,0.5625,1.1661710739135742
0.5625,1.2079083919525146,0.65625,1.253050446510315
0.5625,1.2603541612625122,0.5,1.215847134590149
0.53125,1.0393269062042236,0.6875,1.163030743598938
0.5,1.2209017276763916,0.6875,0.7727292776107788
0.71875,0.7529727816581726,0.65625,0.9753808379173279
0.71875,0.7796334624290466,0.59375,1.0165798664093018
0.5625,1.2334263324737549,0.59375,1.118981957435608
0.53125,1.2838515043258667,0.53125,0.8803864121437073
0.71875,0.7871623039245605,0.625,1.0598913431167603
0.84375,0.6840762495994568,0.71875,0.6370701789855957
0.8125,0.9203391075134277,0.6875,0.9587450623512268
0.71875,0.7112464904785156,0.78125,0.533661425113678
0.6875,0.7923529744148254,0.75,0.7775925397872925
0.8125,0.4877178370952606,0.84375,0.48186978697776794
0.78125,0.6253828406333923,0.65625,0.6109336614608765
0.6875,0.7846652865409851,0.875,0.43565282225608826
0.78125,0.6184131503105164,0.8125,0.6168721914291382
0.625,0.8563088774681091,0.8125,0.4920653700828552
0.71875,0.8187703490257263,0.65625,0.6558160781860352
