train_loss,validation_loss,train_variance,validation_variance
12.084854170855355,11.92000856399536,0.444330632686615,0.4341374337673187
11.168725103490495,11.00751543045044,3.639821767807007,3.307157278060913
10.63875632566565,10.502200889587403,6.898730754852295,6.552271842956543
10.244694821974809,10.111000251770019,6.812864303588867,7.835878849029541
10.362858547883874,10.25922727584839,4.548829555511475,5.266859531402588
9.878259726131661,9.75643377304077,3.581611394882202,3.5370748043060303
9.797086210811836,9.676679325103759,3.9587955474853516,3.936436891555786
9.695350478677186,9.59236993789673,3.7422258853912354,3.504286527633667
9.98575408037971,9.875277519226072,5.046069622039795,5.435129642486572
9.671669028787047,9.559863567352295,4.0216145515441895,4.8699140548706055
9.62082071865306,9.512562274932861,4.230971813201904,5.098225116729736
9.53424337050494,9.439191675186157,4.158196926116943,4.099074363708496
9.52697836932014,9.427400922775268,4.393850326538086,5.053023815155029
9.521735168905815,9.439881038665773,4.5865020751953125,5.094038963317871
9.51740934708539,9.44177713394165,4.554450988769531,5.476884365081787
9.517453990263096,9.406020545959473,4.622161865234375,5.013453483581543
9.50886059929343,9.424835634231568,4.594544410705566,5.330864429473877
9.505107251335597,9.40536789894104,5.048297882080078,5.591446876525879
9.500112522349642,9.423714065551758,5.0400285720825195,4.78060245513916
9.499146035138299,9.409490537643432,4.825045585632324,5.572347164154053
