train_accuracy,train_loss,validation_accuracy,validation_loss
0.3984375,1.5638713836669922,0.3125,1.4880969524383545
0.609375,1.1624298095703125,0.5,1.4470434188842773
0.5625,1.1802408695220947,0.375,1.5865262746810913
0.625,1.1117202043533325,0.5625,1.386317491531372
0.6015625,1.1525975465774536,0.5,1.3363782167434692
0.671875,1.0016285181045532,0.4375,1.4500560760498047
0.625,1.025026798248291,0.6875,1.0221837759017944
0.7421875,0.947664737701416,0.6875,1.0637898445129395
0.75,0.7957170605659485,0.4375,1.4985579252243042
0.7734375,0.7386258244514465,0.8125,0.9654176235198975
0.8046875,0.6751573085784912,0.625,0.9859614372253418
0.796875,0.6662037372589111,0.5,1.0432833433151245
0.7421875,0.78044593334198,0.625,1.1027634143829346
0.7421875,0.7468297481536865,0.6875,1.0294269323349
0.859375,0.6336126327514648,0.375,1.5054676532745361
0.8046875,0.6480536460876465,0.6875,0.9438734650611877
0.765625,0.7281522750854492,0.6875,0.8813731074333191
0.8046875,0.6182795166969299,0.6875,1.1102724075317383
0.8046875,0.6782139539718628,0.625,1.313293695449829
0.84375,0.6531932950019836,0.6875,1.1183931827545166
