train_loss,validation_loss,train_variance,validation_variance
5.132631773107189,5.05726113319397,2.574090003967285,2.515320062637329
4.1555292858796955,4.106411600112915,4.181829452514648,4.625710964202881
3.6850730587454406,3.6578114748001096,4.770145416259766,5.016234874725342
3.410870681089514,3.393121886253357,4.9853692054748535,5.359716892242432
3.654374630310955,3.6517454385757446,7.93362283706665,8.575556755065918
3.3177331840290747,3.3259249448776247,6.223443031311035,6.685480117797852
3.2985010876375083,3.3209794998168944,5.058344841003418,5.518836498260498
3.131012487411498,3.170877456665039,5.063827037811279,5.618685245513916
3.145658700606402,3.213901019096374,6.190123081207275,7.0364837646484375
3.0582074305590465,3.136258769035339,6.219773769378662,6.807074546813965
2.9930833536035895,3.0680670976638797,6.015031337738037,6.816019058227539
2.8856300410102396,2.9720339775085454,6.904627323150635,7.947327136993408
2.872092631283928,2.978744697570801,7.633729934692383,8.62121295928955
2.866497264188878,2.9684975385665893,7.900035381317139,9.047043800354004
2.859719901926377,2.972098970413208,8.108994483947754,9.471972465515137
2.8510490922366865,2.96766459941864,8.379234313964844,9.528252601623535
2.8447124284856464,2.9633100986480714,8.605478286743164,10.044489860534668
2.8377994397107296,2.9594041585922244,8.884878158569336,10.1757230758667
2.8341935045578897,2.9592604398727413,9.08149528503418,10.423863410949707
2.828685258416569,2.9615346431732177,9.359219551086426,10.722638130187988
