train_accuracy,train_loss,validation_accuracy,validation_loss,validation_variance
0.6000000238418579,1.1488316059112549,0.75,0.7110164761543274,84.183349609375
0.699999988079071,0.7606993913650513,0.3125,1.7990295886993408,94.17234802246094
0.75,0.7631540894508362,0.75,0.8525047898292542,142.4735565185547
0.800000011920929,0.6526142358779907,0.625,0.7640767097473145,160.95074462890625
0.949999988079071,0.2856699228286743,0.75,1.075778603553772,178.5496826171875
0.875,0.32783806324005127,0.875,0.541142463684082,207.08877563476562
0.949999988079071,0.18617266416549683,0.6875,0.8386110067367554,250.76483154296875
0.987500011920929,0.15509794652462006,0.875,0.5661115050315857,287.3076477050781
0.987500011920929,0.14913412928581238,0.6875,0.7762024402618408,311.86920166015625
0.9625000357627869,0.13577556610107422,0.75,0.6540189385414124,352.87384033203125
1.0,0.07511470466852188,0.75,0.7869225144386292,373.140625
1.0,0.10262419283390045,0.8125,0.6358239650726318,388.4844055175781
0.9750000238418579,0.11067060381174088,0.8125,0.8454868793487549,394.08642578125
0.987500011920929,0.09423220902681351,0.875,0.4091014564037323,423.0978698730469
1.0,0.07730957865715027,0.6875,0.9448202848434448,428.09429931640625
