train_accuracy,train_loss,validation_accuracy,validation_loss
0.125,3.578918695449829,0.125,13.677165031433105
0.375,6.730829238891602,0.0,4.770934104919434
0.0,5.644713401794434,0.375,3.720672130584717
0.375,1.7991907596588135,0.25,2.3669075965881348
0.25,3.236053466796875,0.0,3.6141393184661865
0.125,3.047697067260742,0.0,3.7087302207946777
0.25,2.3970084190368652,0.25,1.861819863319397
0.25,2.3405637741088867,0.625,1.4345706701278687
0.5,1.4809179306030273,0.125,2.3411471843719482
0.25,1.9220764636993408,0.25,1.527338981628418
0.25,2.2303431034088135,0.375,1.770300269126892
0.25,2.132195472717285,0.375,1.4365193843841553
1.0,0.9240386486053467,0.5,1.3451886177062988
0.375,1.8795192241668701,0.125,1.8086222410202026
0.625,1.3959007263183594,0.375,2.500744342803955
0.625,1.482659101486206,0.5,1.2795383930206299
0.625,1.2565959692001343,0.5,1.268147349357605
0.625,1.2330241203308105,0.5,1.181157112121582
0.5,1.6293352842330933,0.375,1.5475115776062012
0.375,1.604254126548767,0.625,1.1701983213424683
0.75,0.8698026537895203,0.625,1.1070672273635864
0.625,1.6227346658706665,0.375,1.7729952335357666
0.75,1.0637621879577637,0.375,1.8184409141540527
0.375,1.5469977855682373,0.75,1.0695290565490723
0.875,0.5995956659317017,0.625,1.3174898624420166
0.375,1.5548852682113647,0.5,1.2719441652297974
0.875,0.7938430905342102,0.375,1.1467278003692627
0.75,1.1042057275772095,0.25,1.5724852085113525
0.5,1.5418071746826172,0.5,1.5404362678527832
1.0,0.7087907791137695,0.5,1.632744312286377
