train_accuracy,train_loss,validation_accuracy,validation_loss
0.984375,0.06744310259819031,0.7307692766189575,0.6568286418914795
1.0,0.008296546526253223,0.7211538553237915,1.2112576961517334
1.0,0.01627054437994957,0.7692307829856873,1.152405023574829
0.984375,0.06431572139263153,0.6826923489570618,1.5691790580749512
1.0,0.0024182996712625027,0.759615421295166,1.1739611625671387
1.0,0.0010430533438920975,0.7307692766189575,1.8484673500061035
1.0,0.004788157530128956,0.6826923489570618,1.9098082780838013
0.984375,0.061484694480895996,0.6538462042808533,2.356593608856201
1.0,0.00016320274153258651,0.701923131942749,2.008435010910034
1.0,0.00021867631585337222,0.6826923489570618,2.3935678005218506
