train_accuracy,train_loss,validation_accuracy,validation_loss
0.3046875,1.8453369140625,0.34375,1.7991560697555542
0.40625,1.5349270105361938,0.4140625,1.5234748125076294
0.46875,1.590478539466858,0.4921875,1.5324039459228516
0.46875,1.5398365259170532,0.4140625,1.5725456476211548
0.375,1.7506153583526611,0.453125,1.783540964126587
0.5234375,1.516985535621643,0.5234375,1.2892251014709473
0.53125,1.4016181230545044,0.5703125,1.3917901515960693
0.6484375,1.107155442237854,0.6328125,1.1121618747711182
0.5625,1.2117825746536255,0.5703125,1.2250524759292603
0.6328125,1.116795301437378,0.65625,1.0117371082305908
0.671875,1.1274832487106323,0.59375,1.280442476272583
0.65625,1.0319299697875977,0.609375,1.0538623332977295
0.6484375,1.1024128198623657,0.7265625,0.7238442897796631
0.640625,1.1262052059173584,0.6953125,0.9716871976852417
0.59375,1.2958544492721558,0.5625,1.393559455871582
0.7421875,0.7264503836631775,0.734375,0.7703561186790466
0.7109375,0.933808445930481,0.6640625,1.0283249616622925
0.6953125,0.9865130186080933,0.734375,0.8426930904388428
0.7265625,0.7342460751533508,0.625,1.242956519126892
0.6875,0.9621339440345764,0.6640625,1.0685707330703735
0.6640625,0.8605589270591736,0.71875,0.6457307934761047
0.78125,0.5250385999679565,0.6875,0.8767390251159668
0.609375,1.1918383836746216,0.7109375,0.911829948425293
0.796875,0.6442406177520752,0.7265625,0.9193525910377502
0.625,1.0236916542053223,0.625,0.9974607229232788
0.7578125,1.0342661142349243,0.765625,0.7303735017776489
0.7734375,0.6681039929389954,0.734375,0.7192456126213074
0.7265625,0.8269991874694824,0.75,0.7418488264083862
0.78125,0.588331401348114,0.75,0.6393091678619385
0.734375,0.8007649183273315,0.75,0.7849094867706299
